id	filename	md5	size	state
0c434060-b4f7-4b0e-b8d9-939f740fc72e	0c434060-b4f7-4b0e-b8d9-939f740fc72e/69dbfe7c-3efc-4126-b36d-2b59aca7a16d.wxs.aliquot_ensemble_masked.maf.gz	b6a69a91ada3de87cd29e8f7e135ba1b	36061	validated
0eb6eafa-f4ff-445f-aaf0-d8f46039e567	0eb6eafa-f4ff-445f-aaf0-d8f46039e567/6fc7d422-2711-4250-8262-2b9621fb7186.wxs.aliquot_ensemble_masked.maf.gz	02412019bd70fdf7e9fedd7e8e554e5d	54656	validated
0f17e6cc-f97a-43b3-8f0e-6fdcee66489f	0f17e6cc-f97a-43b3-8f0e-6fdcee66489f/77d24ac6-2fec-402b-8479-de2ff1d37c21.wxs.aliquot_ensemble_masked.maf.gz	572eeecb962f5ffda384a06577d8433d	143127	validated
0fc02096-a234-4e9d-a18b-933465a39784	0fc02096-a234-4e9d-a18b-933465a39784/fb31a824-53a0-438d-98c1-f426f08245ae.wxs.aliquot_ensemble_masked.maf.gz	7d1b300994d10ff6f15c41d2aaa17a3c	37498	validated
0fd7efdb-58b4-48f1-a9d6-e778aec3c0b6	0fd7efdb-58b4-48f1-a9d6-e778aec3c0b6/d8a59ed0-9143-4916-bcb4-403e26b3cfda.wxs.aliquot_ensemble_masked.maf.gz	83d746b4a1785b19450d021500ea45d0	22690	validated
101cc7b9-e448-46e7-9043-2c75b91b98ef	101cc7b9-e448-46e7-9043-2c75b91b98ef/8f4a2f76-f049-405c-8a7c-8203900decf4.wxs.aliquot_ensemble_masked.maf.gz	e9534c8177c610415310ac8c599dd082	48207	validated
119ff8c8-4c57-45c5-9cff-26f7665ae02b	119ff8c8-4c57-45c5-9cff-26f7665ae02b/1c9e29bd-08e7-4c73-91ba-03a5571f0bcf.wxs.aliquot_ensemble_masked.maf.gz	bcc3d9be4849ea15d6a50329fb4bbfc9	37178	validated
130a54ce-e31d-456e-8681-5edb347f9761	130a54ce-e31d-456e-8681-5edb347f9761/771a1a15-39b0-47a8-821e-8dbfd0e80911.wxs.aliquot_ensemble_masked.maf.gz	06c284906c81e01c405bd20dc11a148a	745782	validated
13eb5bfc-2078-4fdc-97f5-90dc28a99fc9	13eb5bfc-2078-4fdc-97f5-90dc28a99fc9/89116bd3-1aba-4b8a-8aff-2916e5cdd87b.wxs.aliquot_ensemble_masked.maf.gz	4304c87d79ba74e029ab07cc149519e5	23808	validated
145448b4-1588-4efd-aacf-e48015e6a720	145448b4-1588-4efd-aacf-e48015e6a720/cac6de60-f79c-4b52-9dd2-def612a15817.wxs.aliquot_ensemble_masked.maf.gz	d62dc1d84f14097469bbcdd9b4b73f6a	48176	validated
14b862c8-ded7-46e1-8a1c-1dd841709e56	14b862c8-ded7-46e1-8a1c-1dd841709e56/7bfbee50-9578-413b-8127-0f34079591e4.wxs.aliquot_ensemble_masked.maf.gz	7b25328cbf86f0caebfea198491031d7	31396	validated
16eec41b-8549-4b33-9798-78a707b220d7	16eec41b-8549-4b33-9798-78a707b220d7/830c64c4-07df-469f-82e7-e2b169491924.wxs.aliquot_ensemble_masked.maf.gz	cd9b284a78a26b1da8a908a539f7329f	60843	validated
17d008ac-c2e5-4cb7-b14d-2a473027b1ab	17d008ac-c2e5-4cb7-b14d-2a473027b1ab/fe2a2633-182c-4a6a-9dcc-4e0ef4fec3cc.wxs.aliquot_ensemble_masked.maf.gz	b5a801e0bac444314c1c16fb99e7344d	12171	validated
194aeb04-0aab-4d07-95a3-37fe4d493ed6	194aeb04-0aab-4d07-95a3-37fe4d493ed6/6cd902ca-230a-49fb-abc7-0afea73bc7e6.wxs.aliquot_ensemble_masked.maf.gz	814f9b442ea2643b6df28d147745a535	537151	validated
1a5d15a4-0734-4fbc-886f-274593983451	1a5d15a4-0734-4fbc-886f-274593983451/5131d045-4ec5-4a34-a236-d94220f4d2c4.wxs.aliquot_ensemble_masked.maf.gz	c5999a20625ea139206f681692dcf34a	36683	validated
1a89a802-3a9d-404a-a605-e549991e025a	1a89a802-3a9d-404a-a605-e549991e025a/788d4275-ac37-4d4d-952f-672afc3889f5.wxs.aliquot_ensemble_masked.maf.gz	507b18c5c1dd566f420439dd493d3891	46561	validated
1a9a696f-abc9-4757-ad32-ad2d1a076331	1a9a696f-abc9-4757-ad32-ad2d1a076331/0e9fbbb8-9b6b-428b-b781-0b5fbd43aa20.wxs.aliquot_ensemble_masked.maf.gz	91f1d763cbf78bafb1ed2d6a699fe541	248911	validated
1c2995f0-3bd9-4997-896d-8d4ba32a42ce	1c2995f0-3bd9-4997-896d-8d4ba32a42ce/f211f81a-f052-4456-bb1a-460219b7b810.wxs.aliquot_ensemble_masked.maf.gz	882e69cee1c12360ed38621388eaa5d0	62103	validated
1d26867f-b49f-44a0-a39b-ab5a1b5a8402	1d26867f-b49f-44a0-a39b-ab5a1b5a8402/a142a6e9-54c7-4d54-9318-33b9c6176908.wxs.aliquot_ensemble_masked.maf.gz	065ed23a18e152c28913e3c6ab466fe6	34095	validated
1d9aac3c-3e49-49b1-9cb3-dc05ad8d8e05	1d9aac3c-3e49-49b1-9cb3-dc05ad8d8e05/5617516d-4fd2-45fa-867d-66a80b69d244.wxs.aliquot_ensemble_masked.maf.gz	7719fce500dc1392bc8ac8e6a1605ca6	248707	validated
1de6f01b-5c88-49ec-a06c-412d94a6a2ee	1de6f01b-5c88-49ec-a06c-412d94a6a2ee/57d3f244-ae93-4604-ba8c-d1ae23b7aa22.wxs.aliquot_ensemble_masked.maf.gz	b31f9d41639cd6ebb1961a3655694436	550390	validated
1e07c69c-4bd9-4a84-b615-7a6b32db43ba	1e07c69c-4bd9-4a84-b615-7a6b32db43ba/4b85fe05-f4e5-41e5-b6c3-b522cc4522bd.wxs.aliquot_ensemble_masked.maf.gz	adf2ace4529ab8f3da712b4007f9c474	54345	validated
1e3228bc-7374-4a11-af3d-6946f5189dc4	1e3228bc-7374-4a11-af3d-6946f5189dc4/db965d4d-91bf-4cce-8d1a-d36794c55a6e.wxs.aliquot_ensemble_masked.maf.gz	7384e484763388eb076934dd070ad95f	17422	validated
1f799f9a-2b68-48c1-8207-610a49dfe0aa	1f799f9a-2b68-48c1-8207-610a49dfe0aa/c232da2f-5980-44d2-838f-43faca7695ab.wxs.aliquot_ensemble_masked.maf.gz	6414d985c8d4cbbf6963aeca6567acb7	136931	validated
