"","CD4_c0_Tcm","CD4_c1_Treg","CD4_c10_Tn_LEF1_ANKRD55","CD4_c11_Tisg","CD4_c2_Tn","CD4_c3_Tfh","CD4_c4_Tstr","CD4_c5_CTL","CD4_c6_Tn_FHIT","CD4_c7_Tn_TCEA3","CD4_c8_Tf17","CD4_c9_Tn_TCF7_SLC40A1","CD8_c0_t_Teff","CD8_c1_Tex","CD8_c10_Teff_CD244","CD8_c11_Teff_SEMA4A","CD8_c12_Trm","CD8_c13_Tn_TCF7","CD8_c2_Teff","CD8_c3_Tn","CD8_c4_Tstr","CD8_c5_Tisg","CD8_c6_Tcm","CD8_c7_p_Tex","CD8_c8_Teff_KLRG1","CD8_c9_Tsen","Mast","Mo_01_CD14","Mo_02_CD16","Mono_like_01_CD14","Mono_like_02_CD16","Mono_like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","ecm_myCAF","detox_iCAF","IL_iCAF","TGFβ_myCAF","wound_myCAF","IFNγ_iCAF","CAF_S1","Normal_Fibroblast"
"48","SLC2A3","IFI6","AES","GZMA",NA,"MAF","KLF6","PARP8",NA,"EEF1B2","LMO4","TC2N","FAM46C","ZBED2","CORO1A","JUNB","IKZF3","PABPC4","MYO1G","C1orf228","IER5","DDX60L","COTL1","C12orf75","APMAP",NA,"RETN","CFD","VSIR","PLIN2","MT2A","SGK1","CTSH","FCER1G","ISG15","CCL20","HLA-DRB5","HLA-DPA1","CST3","HLA-DMB","NUPR1","LGALS1","CLEC12A","LBR","MX1","FKBP5","USP10","NR4A3","FABP1","GBP1","VEGFA","LCP2","ARL5B","NAAA","SDS","ALDH2","LST1","SOX4","AREG",NA,NA,NA,NA,NA,NA,"COL6A3","F10"
"49","PLP2","CCR8","FOXP1","DRAP1",NA,"ATP5G3","NR4A2","ATP5MG",NA,"KLF2","GNA15","TRAF3IP3","ATP1B3","PKM","CISD3","SRSF6","TOB1","MLLT6","S1PR1","SMDT1","CKS2","DDX58","CD44","PLEK","SAMD3",NA,"TUBA1A","ASGR1","MPEG1","CXCL3","BAG3","PLIN2","S100A10","MPEG1","NUPR1","CCL2","CXCL9","CCL18","SELENOP","STAB1","CXCL10","SELENOP","LTA4H","ENTPD1","YPEL3","CELF2","PRKDC","GPR65","PPIF","ZFYVE16","GBP5","SNX10","PLAU","CLNK","HERPUD1","RGS1","CLDN1","PTGDS","HIST1H4C",NA,NA,NA,NA,NA,NA,"KCNK2","FAM162B"
"50","GLIPR1","ARID5B","TESPA1","GBP4",NA,"PFN1","TCP1","ANXA1",NA,"NUCB2","SQSTM1","TESPA1","TTC19","FKBP1A","CSK","TOX","RORA","POU2F2","RIPOR2","EIF3H","STIP1","RNF213","TGFB1","FKBP1A","PSMB10",NA,"NCOA4","RBP7","MAFB","CCL20","ZFAND2A","AREG","MS4A6A","MT2A","CXCL10","MT1G","CXCL10","PLA2G7","RNASE1","CREG1","MT1G","MT1G","HBB","FKBP5","ANP32A","IFITM1","FRMD4B","IFRD1","SAMSN1","CCL4L2","TNFSF10","ERO1A","CCL20","TXN","ATP1B3","TMSB10","GPR183","TXN","FCGBP",NA,NA,NA,NA,NA,NA,"KERA","FAM180B"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COL11A1","FBLN5"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STMN2","FHL5"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNDIG1","FNDC5"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLR","FRMPD1"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COL10A1","FZD4"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADH1B","G0S2"
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OMD","GDF10"
